   INFO 10:49:18,332 - START
[GenDmTextFileParser]  DEBUG 10:49:18,561 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,561 - LEXER >> [COMMENT_LINE] : eg. VECTOR POINTER Toto vecToto ou MAP POINTER Toto mapToto
[GenDmTextFileParser]  DEBUG 10:49:18,561 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> [COMMENT_LINE] : ==================================================================
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> [COMMENT_LINE] : ============================ Project ==============================
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> [APPLICATION] : APPLICATION
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> [CLASS_NAME] : CFL
[GenDmTextFileParser]  DEBUG 10:49:18,562 - LEXER >> [DESCRIPTION] : CFL application for LPSP
[GenDmTextFileParser]  DEBUG 10:49:18,563 - LEXER >> [DEFAULT_PROPERTIES] : DEFAULT PROPERTIES
[GenDmTextFileParser]  DEBUG 10:49:18,563 - LEXER >> [NO_BASE_CLASS] : NO_BASE_CLASS
[GenDmTextFileParser]  DEBUG 10:49:18,563 - LEXER >> [NO_VIRTUAL] : NO_VIRTUAL
[GenDmTextFileParser]  DEBUG 10:49:18,564 - LEXER >> [NO_ENUM_PREFIX] : NO_ENUM_PREFIX
[GenDmTextFileParser]  DEBUG 10:49:18,564 - LEXER >> [END_DEFAULT_PROPERTIES] : END DEFAULT PROPERTIES
[GenDmTextFileParser]  DEBUG 10:49:18,564 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,564 - LEXER >> [COMMENT_LINE] : ============================ Main Session ==============================
[GenDmTextFileParser]  DEBUG 10:49:18,564 - LEXER >> [SESSION] : SESSION
[GenDmTextFileParser]  DEBUG 10:49:18,565 - LEXER >> [POINTER] : POINTER
[GenDmTextFileParser]  DEBUG 10:49:18,565 - LEXER >> [CLASS_NAME] : SessionInDTO
[GenDmTextFileParser]  DEBUG 10:49:18,565 - LEXER >> [ATT_NAME] : sessionInDTO
[GenDmTextFileParser]  DEBUG 10:49:18,566 - LEXER >> [NO_INIT] : NO_INIT
[GenDmTextFileParser]  DEBUG 10:49:18,566 - LEXER >> [CREATE] : CREATE
[GenDmTextFileParser]  DEBUG 10:49:18,566 - LEXER >> [POINTER] : POINTER
[GenDmTextFileParser]  DEBUG 10:49:18,566 - LEXER >> [CLASS_NAME] : SessionOutDTO
[GenDmTextFileParser]  DEBUG 10:49:18,567 - LEXER >> [ATT_NAME] : sessionOutDTO
[GenDmTextFileParser]  DEBUG 10:49:18,567 - LEXER >> [NO_INIT] : NO_INIT
[GenDmTextFileParser]  DEBUG 10:49:18,567 - LEXER >> [CREATE] : CREATE
[GenDmTextFileParser]  DEBUG 10:49:18,567 - LEXER >> [POINTER] : POINTER
[GenDmTextFileParser]  DEBUG 10:49:18,567 - LEXER >> [CLASS_NAME] : Progression
[GenDmTextFileParser]  DEBUG 10:49:18,567 - LEXER >> [ATT_NAME] : progression
[GenDmTextFileParser]  DEBUG 10:49:18,568 - LEXER >> [NO_INIT] : NO_INIT
[GenDmTextFileParser]  DEBUG 10:49:18,568 - LEXER >> [CREATE] : CREATE
[GenDmTextFileParser]  DEBUG 10:49:18,568 - LEXER >> [END_SESSION] : END SESSION
[GenDmTextFileParser]  DEBUG 10:49:18,568 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,568 - LEXER >> [COMMENT_LINE] : HorizonPlanif utile ? Ou session directement ?
[GenDmTextFileParser]  DEBUG 10:49:18,568 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,568 - LEXER >> [COMMENT_LINE] : Classe Identifiable ?
[GenDmTextFileParser]  DEBUG 10:49:18,569 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,569 - LEXER >> [COMMENT_LINE] : JourneeDeService : jour ou date de début ?
[GenDmTextFileParser]  DEBUG 10:49:18,569 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,569 - LEXER >> [COMMENT_LINE] : Compteurs ? : Héritage ou champs simples ? CompteurIn et CompteurOut ?
[GenDmTextFileParser]  DEBUG 10:49:18,569 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,569 - LEXER >> [COMMENT_LINE] : nbHeuresNuit : duree nuit ? (duration)
[GenDmTextFileParser]  DEBUG 10:49:18,569 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,569 - LEXER >> [COMMENT_LINE] : Même serializer pour in/out ?
[GenDmTextFileParser]  DEBUG 10:49:18,569 - LEXER >> Comment Line Start
[GenDmTextFileParser]  DEBUG 10:49:18,570 - LEXER >> [COMMENT_LINE] : Retirer les constructeurs par défaut ?
[GenDmTextFileParser]  DEBUG 10:49:18,570 - LEXER >> [PACKAGE] : PACKAGE
[GenDmTextFileParser]  DEBUG 10:49:18,570 - LEXER >> [ATT_NAME] : dto
[GenDmTextFileParser]  DEBUG 10:49:18,570 - LEXER >> User Comment Block Start
[GenDmTextFileParser]  DEBUG 10:49:18,570 - LEXER >> [COMMENT_BLOCK] : Classe mère pour les classes ayant un id
[GenDmTextFileParser]  DEBUG 10:49:18,570 - LEXER >> [CLASS] : CLASS
[GenDmTextFileParser]  DEBUG 10:49:18,571 - LEXER >> [CLASS_NAME] : Identifiable
[GenDmTextFileParser]  DEBUG 10:49:18,571 - LEXER >> [ABSTRACT] : ABSTRACT
[GenDmTextFileParser]  DEBUG 10:49:18,571 - LEXER >> [ID] : ID
[GenDmTextFileParser]  DEBUG 10:49:18,571 - LEXER >> [ATT_NAME] : id
[GenDmTextFileParser]  DEBUG 10:49:18,571 - LEXER >> User Comment Block Start
[GenDmTextFileParser]  DEBUG 10:49:18,571 - LEXER >> [COMMENT_BLOCK] : Identifiant unique
[GenDmTextFileParser]  DEBUG 10:49:18,571 - LEXER >> [NATIVE_TYPE] : STRING
[GenDmTextFileParser]  DEBUG 10:49:18,571 - LEXER >> [ATT_NAME] : id
[GenDmTextFileParser]  DEBUG 10:49:18,571 - LEXER >> [CONST] : CONST
[GenDmTextFileParser]  DEBUG 10:49:18,571 - LEXER >> [END_CLASS] : END CLASS
[GenDmTextFileParser]  DEBUG 10:49:18,572 - LEXER >> User Comment Block Start
[GenDmTextFileParser]  DEBUG 10:49:18,572 - LEXER >> [COMMENT_BLOCK] : Type du COMPTEUR utilisé, pour l'identifier
[GenDmTextFileParser]  DEBUG 10:49:18,572 - LEXER >> [ENUM] : ENUM
[GenDmTextFileParser]  DEBUG 10:49:18,572 - LEXER >> [CLASS_NAME] : TypeCompteur
